"Country","Region","Population","Under15","Over60","FertilityRate","LifeExpectancy","CellularSubscribers","RRC_Under15","RRC_Over60","RRC_FertilityRate","RRC_LifeExpectancy","RRC_CellularSubscribers","kmeans"
"Latvia","Europe",2060,14.57,24.24,1.57,74,102.94,-1.33021662564967,1.83312711734978,-0.918851321359878,0.450126306766764,0.226966631562664,"2"
"Lebanon","Eastern Mediterranean",4647,21.64,12.03,1.5,74,78.65,-0.670381394937319,0.136977687801664,-0.965933901474224,0.450126306766764,-0.359039927146607,"1"
"Lesotho","Africa",2052,36.75,6.31,3.15,50,56.17,0.739818086825578,-0.657614837752411,0.143869772649648,-2.11862619684278,-0.901379467689399,"3"
"Liberia","Africa",4190,43.06,4.76,4.95,59,49.17,1.32872336345853,-0.872932742404302,1.35456468987569,-1.1553440079892,-1.07025743849899,"3"
"Libya","Eastern Mediterranean",6155,29.45,6.96,2.47,65,155.7,0.0585172121155086,-0.567320232575812,-0.313503862746856,-0.513155882086815,1.49982402297893,"1"
"Lithuania","Europe",3028,15.13,20.57,1.49,74,151.3,-1.27795244895959,1.32330988504498,-0.972659984347702,0.450126306766764,1.39367215561291,"2"
"Luxembourg","Europe",524,17.46,19.15,1.65,82,148.27,-1.06049614237404,1.12605090142841,-0.865042658372054,1.30637714130328,1.32057211967676,"2"
"Madagascar","Africa",22294,42.72,4.45,4.59,66,40.65,1.29699154189669,-0.91599632333468,1.11242570643048,-0.40612452776975,-1.27580605439866,"3"
"Malawi","Africa",15906,45.44,4.92,5.55,58,25.69,1.5508461143914,-0.850706378053139,1.75812966228437,-1.26237536230626,-1.63672240344315,"3"
"Malaysia","Western Pacific",29240,26.65,8.21,1.99,74,127.04,-0.202803671334929,-0.393676761082351,-0.636355840673801,0.450126306766764,0.808389359635676,"1"
"Maldives","South-East Asia",338,29.03,6.65,2.31,77,165.72,0.0193190795979431,-0.61038381350619,-0.421121188722505,0.771220369717957,1.74156077548066,"1"
"Mali","Africa",14854,47.14,4.29,6.85,51,68.32,1.70950522220059,-0.938222687685843,2.63252043583651,-2.01159484252572,-0.608255561212757,"3"
"Malta","Europe",428,14.98,22.87,1.37,80,124.86,-1.29195178200157,1.64281387259295,-1.05337297882944,1.09231443266915,0.755795934440689,"2"
"Mauritania","Africa",3796,40.22,4.94,4.78,59,93.6,1.06366932453023,-0.847928082509244,1.24022128102656,-1.1553440079892,0.00163516765387062,"3"
"Mauritius","Africa",1240,20.17,13.23,1.51,74,99.04,-0.807574858748799,0.303675420435386,-0.959207818600746,0.450126306766764,0.132877476397322,"2"
"Mexico","Americas",121000,29.02,9.18,2.25,75,82.38,0.0183857907284771,-0.258929427203426,-0.461477685963373,0.557157661083828,-0.269052094129498,"1"
"Mongolia","Western Pacific",2796,27.05,5.8,2.45,68,105.08,-0.165472116556295,-0.728461374121743,-0.326956028493812,-0.192061819135622,0.278595039781596,"1"
"Morocco","Eastern Mediterranean",32521,27.85,7.61,2.65,72,113.26,-0.090809006999027,-0.477025627399212,-0.192434371024252,0.236063598132636,0.4759410113848,"1"
"Mozambique","Africa",25203,45.38,5.01,5.34,53,32.83,1.54524638117461,-0.83820404810561,1.61688192194133,-1.79753213389159,-1.46446687321737,"3"
"Myanmar","South-East Asia",52797,25.28,8.15,1.98,65,2.57,-0.33066424645175,-0.402011647714037,-0.643081923547279,-0.513155882086815,-2.19450221560282,"1"
"Namibia","Africa",2259,36.59,5.38,3.17,65,96.39,0.724885464914125,-0.786805580543546,0.157321938396604,-0.513155882086815,0.0689451017336924,"1"
"Nepal","South-East Asia",27474,35.58,7.65,2.5,68,43.81,0.630623289098074,-0.471469036311422,-0.293325614126422,-0.192061819135622,-1.19956971329033,"1"
"New Zealand","Western Pacific",4460,20.26,19.01,2.1,81,109.19,-0.799175258923606,1.10660283262115,-0.562368929065543,1.19934578698621,0.377750534071225,"2"
"Nicaragua","Americas",5992,33.37,6.59,2.59,73,82.15,0.424366448946121,-0.618718700137876,-0.23279086826512,0.3430949524497,-0.274600941741813,"1"
"Niger","Africa",17157,49.99,4.26,7.58,56,29.52,1.97549254999836,-0.942390131001686,3.12352448560041,-1.47643807094039,-1.5443220279859,"3"
"Nigeria","Africa",169000,44.23,4.49,6.02,53,58.58,1.43791816118603,-0.910439732246889,2.07425555733784,-1.79753213389159,-0.843237194882098,"3"
"Norway","Europe",4994,18.64,21.41,1.93,81,115.62,-0.950368055777074,1.43999829788859,-0.676712337914669,1.19934578698621,0.532877012972033,"2"
"Oman","Eastern Mediterranean",3314,24.19,3.99,2.9,72,168.97,-0.432392733223528,-0.979897120844274,-0.0242822991873019,0.236063598132636,1.81996840478511,"1"
"Pakistan","Eastern Mediterranean",179000,34.31,6.44,3.35,67,61.61,0.512095602675911,-0.639555916717091,0.278391430119209,-0.299093173452686,-0.770137158945948,"1"
"Palau","Western Pacific",21,30.1,8.84,NA,72,74.94,0.119180988630789,-0.306160451449647,NA,0.236063598132636,-0.448545251675689,NA
"Panama","Americas",3802,28.65,10.13,2.52,77,188.6,-0.0161458974417593,-0.126960388868396,-0.279873448379466,0.771220369717957,2.293550485784,"1"
"Papua New Guinea","Western Pacific",7167,38.37,4.79,3.9,63,34.22,0.891010883679045,-0.868765299088459,0.648325988160499,-0.727218590720943,-1.43093253329947,"3"
"Paraguay","Americas",6687,32.78,8.01,2.93,75,99.4,0.369302405647636,-0.421459716521305,-0.00410405056686773,0.557157661083828,0.141562629181816,"1"
"Peru","Americas",29988,29.18,9.12,2.48,77,110.41,0.0333184126399307,-0.267264313835112,-0.306777779873378,0.771220369717957,0.407183551840896,"1"
"Philippines","Western Pacific",96707,34.53,6.21,3.11,69,99.3,0.53262795780416,-0.671506315471888,0.116965441155736,-0.0850304648185574,0.139150086741678,"1"
"Poland","Europe",38211,14.91,20.48,1.39,76,130.97,-1.29848480408783,1.31080755509746,-1.03992081308248,0.664189015400893,0.903202277533059,"2"
"Portugal","Europe",10604,14.92,24.39,1.33,80,115.39,-1.29755151521837,1.853964333929,-1.08027731032335,1.09231443266915,0.527328165359718,"2"
"Qatar","Eastern Mediterranean",2051,13.28,1.73,2.06,82,123.11,-1.45061088981077,-1.29384451730445,-0.589273260559455,1.30637714130328,0.713576441738292,"1"
"Republic of Korea","Western Pacific",49003,15.25,16.58,1.29,81,108.5,-1.266752982526,0.769039924037859,-1.10718164181726,1.19934578698621,0.36110399123428,"2"
"Republic of Moldova","Europe",3514,16.52,16.72,1.47,71,104.8,-1.14822529610383,0.788487992845127,-0.986112150094658,0.129032243815571,0.271839920949212,"2"
"Romania","Europe",21755,15.05,20.66,1.39,74,109.16,-1.28541875991531,1.33581221499251,-1.03992081308248,0.450126306766764,0.377026771339184,"2"
"Russian Federation","Europe",143000,15.45,18.6,1.51,69,179.31,-1.24808720513668,1.04964777397129,-0.959207818600746,-0.0850304648185574,2.06942529309527,"2"
"Rwanda","Africa",11458,43.56,3.94,4.73,60,40.63,1.37538780693182,-0.986842859704012,1.20659086665917,-1.04831265367214,-1.27628856288669,"3"
"Saint Lucia","Americas",181,24.31,12.13,1.96,75,123,-0.421193266789938,0.150869165521141,-0.656534089294235,0.557157661083828,0.710922645054142,"1"
"Saint Vincent and the Grenadines","Americas",109,25.7,9.92,2.05,74,120.52,-0.291466113934185,-0.156132492079298,-0.595999343432933,0.450126306766764,0.651091592538745,"1"
"San Marino","Europe",31,14.04,26.97,NA,83,111.75,-1.37968093573136,2.2123644590915,NA,1.41340849562034,0.439511620538732,NA
"Sao Tome and Principe","Africa",188,41.6,4.76,4.22,63,68.26,1.19246318851651,-0.872932742404302,0.863560640111796,-0.727218590720943,-0.609703086676839,"3"
"Saudi Arabia","Eastern Mediterranean",28288,29.69,4.59,2.76,76,191.24,0.0809161449826891,-0.896548254527413,-0.118447459415994,0.664189015400893,2.35724160620361,"1"
"Senegal","Africa",13726,43.54,4.57,5.02,61,73.25,1.37352122919289,-0.899326550071308,1.40164726999004,-0.941281299355072,-0.489317218914004,"3"
"Serbia","Europe",9553,16.45,20.52,1.37,74,125.39,-1.15475831819009,1.31636414618525,-1.05337297882944,0.450126306766764,0.768582409373415,"2"
"Seychelles","Africa",92,21.95,10.05,2.23,74,145.71,-0.641449439983878,-0.138073571043978,-0.474929851710329,0.450126306766764,1.25881103320925,"1"
"Sierra Leone","Africa",5979,41.74,4.41,4.86,47,35.63,1.20552923268904,-0.921552914422471,1.29402994401439,-2.43972025979397,-1.39691568489353,"3"
"Singapore","Western Pacific",5303,16.48,15.13,1.27,82,150.24,-1.1519584515817,0.567613497105446,-1.12063380756422,1.30637714130328,1.36809920574745,"2"
"Slovakia","Europe",5446,15,18.6,1.37,76,109.35,-1.29008520426264,1.04964777397129,-1.05337297882944,0.664189015400893,0.381610601975444,"2"
"Slovenia","Europe",2068,14.16,23.16,1.49,80,106.56,-1.36848146929777,1.68309915797943,-0.972659984347702,1.09231443266915,0.314300667895623,"2"
"Solomon Islands","Western Pacific",550,40.37,5.1,4.17,70,49.77,1.07766865757221,-0.825701718158081,0.829930225744406,0.0220008894985069,-1.05578218385817,"3"
"Somalia","Eastern Mediterranean",10195,47.35,4.46,6.77,50,6.85,1.72910428845938,-0.914607175562733,2.57871177284869,-2.11862619684278,-2.09124539916496,"3"
"South Africa","Africa",52386,29.53,8.44,2.44,58,126.83,0.0659835230712356,-0.361726362327555,-0.33368211136729,-1.26237536230626,0.803323020511388,"1"
"Spain","Europe",46755,15.2,22.86,1.47,82,113.22,-1.27141942687333,1.641424724821,-0.986112150094658,1.30637714130328,0.474975994408745,"2"
"Sri Lanka","South-East Asia",21098,25.15,12.4,2.35,75,87.05,-0.342797001754806,0.188376155363728,-0.394216857228593,0.557157661083828,-0.156386362175101,"1"
"Sudan","Eastern Mediterranean",37195,41.48,4.99,4.56,62,56.14,1.18126372208292,-0.840982343649505,1.09224745781005,-0.834249945038008,-0.90210323042144,"3"
"Suriname","Americas",535,27.83,9.55,2.32,72,178.88,-0.0926755847379589,-0.207530959641362,-0.414395105849027,0.236063598132636,2.05905136060268,"1"
"Swaziland","Africa",1231,38.05,5.34,3.48,50,63.7,0.861145639856138,-0.792362171631336,0.365830507474423,-2.11862619684278,-0.719715021947085,"3"
"Sweden","Europe",9511,16.71,25.32,1.93,82,118.57,-1.13049280758398,1.98315507672013,-0.676712337914669,1.30637714130328,0.604047014956073,"2"
"Switzerland","Europe",7997,14.79,23.25,1.51,83,131.43,-1.30968427052143,1.69560148792696,-0.959207818600746,1.41340849562034,0.914299972757689,"2"
"Syrian Arab Republic","Eastern Mediterranean",21890,35.35,6.09,3.04,75,63.17,0.609157645100359,-0.68817608873526,0.0698828610413903,0.557157661083828,-0.732501496879811,"1"
"Tajikistan","Europe",8009,35.75,4.8,3.81,68,90.64,0.646489199878993,-0.867376151316511,0.587791242299197,-0.192061819135622,-0.0697760885741837,"1"
"Thailand","South-East Asia",66785,18.47,13.96,1.43,74,111.63,-0.966233966557993,0.405083207787567,-1.01301648158857,0.450126306766764,0.436616569610567,"2"
"The former Yugoslav Republic of Macedonia","Europe",2106,16.89,17.56,1.44,75,107.24,-1.1136936079336,0.905176405688732,-1.00629039871509,0.557157661083828,0.330705956488554,"2"
"Timor-Leste","South-East Asia",1114,46.33,5.16,6.11,64,53.23,1.63390882377386,-0.817366831526395,2.13479030319914,-0.620187236403879,-0.972308215429426,"3"
"Togo","Africa",6643,41.89,4.44,4.75,56,50.45,1.21952856573102,-0.917385471106628,1.22004303240613,-1.47643807094039,-1.03937689526523,"3"
"Tonga","Western Pacific",105,37.33,7.96,3.86,72,52.63,0.793948841254597,-0.428405455381043,0.621421656666587,0.236063598132636,-0.986783470070248,"1"
"Trinidad and Tobago","Americas",1337,20.73,13.18,1.8,71,135.64,-0.755310682058711,0.296729681575647,-0.764151415269883,0.129032243815571,1.01586800948746,"2"
"Tunisia","Eastern Mediterranean",10875,23.22,10.49,2.04,76,116.93,-0.522921753561715,-0.0769510690782796,-0.602725426306411,0.664189015400893,0.564481318937827,"1"
"Turkey","Europe",73997,26,10.56,2.08,76,88.7,-0.263467447850209,-0.0672270346746458,-0.575821094812499,0.664189015400893,-0.116579411912841,"1"
"Turkmenistan","Europe",5173,28.65,6.3,2.38,63,68.77,-0.0161458974417593,-0.659003985524359,-0.374038608608159,-0.727218590720943,-0.59739912023214,"1"
"Tuvalu","Western Pacific",10,30.61,9.07,NA,64,21.63,0.166778720973547,-0.274210052694851,NA,-0.620187236403879,-1.73467162651271,NA
"Uganda","Africa",36346,48.54,3.72,6.06,56,48.38,1.84016566392581,-1.01740411068686,2.10115988883175,-1.47643807094039,-1.08931652377607,"3"
"Ukraine","Europe",45530,14.18,20.76,1.45,71,122.98,-1.36661489155884,1.34970369271199,-0.999564315841614,0.129032243815571,0.710440136566114,"2"
"United Arab Emirates","Eastern Mediterranean",9206,14.41,0.81,1.84,76,148.62,-1.34514924756113,-1.42164611232364,-0.737247083775971,0.664189015400893,1.32901601821724,"1"
"United Kingdom","Europe",62783,17.54,23.06,1.9,80,130.75,-1.05302983141832,1.66920768025996,-0.696890586535103,1.09231443266915,0.897894684164757,"2"
"United Republic of Tanzania","Africa",47783,44.85,4.89,5.36,59,55.53,1.49578207109292,-0.854873821368982,1.63033408768829,-1.1553440079892,-0.916819739306276,"3"
"United States of America","Americas",318000,19.63,19.31,2,79,92.72,-0.857972457699955,1.14827726577958,-0.629629757800323,0.985283078352086,-0.0195952058193347,"2"
"Uruguay","Americas",3395,22.05,18.59,2.07,77,140.75,-0.632116551289219,1.04825862619934,-0.582547177685977,0.771220369717957,1.13914892817846,"2"
"Uzbekistan","Europe",28541,28.9,6.38,2.38,68,91.65,0.00718632429488686,-0.647890803348777,-0.374038608608159,-0.192061819135622,-0.0454094099288001,"1"
"Vanuatu","Western Pacific",247,37.37,6.02,3.46,72,55.76,0.79768199673246,-0.697900123138894,0.352378341727467,0.236063598132636,-0.911270891693961,"1"
"Venezuela (Bolivarian Republic of)","Americas",29955,28.84,9.17,2.44,75,97.78,0.00158659107809189,-0.260318574975374,-0.33368211136729,0.557157661083828,0.102479441651596,"1"
"Viet Nam","Western Pacific",90796,22.87,9.32,1.79,75,143.39,-0.55558686399302,-0.239481358396159,-0.770877498143361,0.557157661083828,1.20284004859807,"1"
"Yemen","Eastern Mediterranean",23852,40.72,4.54,4.35,64,47.05,1.11033376800352,-0.903493993387151,0.95099971746701,-0.620187236403879,-1.12140333822989,"3"
"Zambia","Africa",14075,46.73,3.95,5.77,55,60.59,1.67124037855249,-0.985453711932064,1.90610348550089,-1.58346942525746,-0.794745091835345,"3"
"Zimbabwe","Africa",13724,40.24,5.68,3.64,54,72.13,1.06553590226916,-0.745131147385115,0.473447833450071,-1.69050077957452,-0.516337694243538,"3"
